KO_4	KO_2	WT_3	KO_1	WT_4	WT_2	KO_3	WT_1
ENSMUSG00000000001	2076	2198	2178	3246	2230	2322	1407	2955
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	2067	1749	1932	2916	2850	2513	1111	3337
ENSMUSG00000000031	0	0	0	0	0	1	0	0
ENSMUSG00000000037	86	88	64	101	97	87	59	82
ENSMUSG00000000049	1	0	3	0	0	0	4	0
ENSMUSG00000000056	1640	1251	1269	1455	1678	1230	925	1657
ENSMUSG00000000058	130	102	92	60	126	190	23	168
ENSMUSG00000000078	3063	1036	1100	1224	2386	1489	1071	1457
ENSMUSG00000000085	719	700	685	1020	909	959	406	1031
ENSMUSG00000000088	1417	1121	921	2232	1174	964	1058	2219
ENSMUSG00000000093	1	1	1	0	2	0	0	0
ENSMUSG00000000094	5	0	0	10	4	0	4	10
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	2	0	1	4	0	0	0
ENSMUSG00000000125	2	0	2	0	4	0	10	0
ENSMUSG00000000126	0	0	3	0	0	0	6	0
ENSMUSG00000000127	175	35	139	178	163	64	147	125
ENSMUSG00000000131	1797	2190	1907	2310	1750	2786	991	1596
ENSMUSG00000000134	217	247	239	197	274	303	165	260
ENSMUSG00000000142	5	4	3	5	2	10	0	1
ENSMUSG00000000148	403	334	342	519	355	305	258	403
ENSMUSG00000000149	310	407	212	300	266	673	192	355
ENSMUSG00000000154	17	21	40	68	54	17	8	32
ENSMUSG00000000157	250	104	118	135	886	92	84	992
ENSMUSG00000000159	91	70	51	54	77	53	19	73
ENSMUSG00000000167	30	112	65	92	113	29	68	115
ENSMUSG00000000168	375	419	291	375	295	413	233	497
ENSMUSG00000000171	5338	5596	5982	10152	7846	6913	3885	8851
ENSMUSG00000000182	0	0	0	3	0	0	0	5
ENSMUSG00000000183	0	1	0	0	0	0	0	0
ENSMUSG00000000184	13402	13423	14424	19837	12582	16655	9999	13738
ENSMUSG00000000194	961	828	839	777	834	696	570	700
ENSMUSG00000000197	0	0	2	2	4	0	1	1
ENSMUSG00000000202	1	0	2	3	2	0	0	0
ENSMUSG00000000204	18	32	73	9	226	0	19	194
ENSMUSG00000000214	0	0	1	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0
ENSMUSG00000000216	1	0	0	0	1	0	0	0
ENSMUSG00000000223	5	1	19	4	27	54	8	8
ENSMUSG00000000244	4276	4699	4775	6884	5705	7027	2478	6419
ENSMUSG00000000247	1	1	3	0	4	0	3	1
ENSMUSG00000000248	58	19	20	7	19	10	83	29
ENSMUSG00000000253	102	147	158	229	141	115	117	162
ENSMUSG00000000263	1	2	1	3	2	3	1	0
