ensembl_gene_id	gene_name	gene_biotype
ENSMUSG00000085299	Gm16627	lincRNA
ENSMUSG00000067978	Vmn2r-ps113	protein_coding
ENSMUSG00000020530	Ggnbp2	protein_coding
ENSMUSG00000074155	Klk5	protein_coding
ENSMUSG00000087276	Gm11378	lincRNA
ENSMUSG00000048534	Amica1	protein_coding
ENSMUSG00000086144	Gm11379	antisense
ENSMUSG00000086875	Gm8975	protein_coding
ENSMUSG00000006948	Klk4	protein_coding
ENSMUSG00000083149	Gm11380	pseudogene
ENSMUSG00000049721	Gal3st1	protein_coding
ENSMUSG00000042320	Prox2	protein_coding
ENSMUSG00000085770	Gm11381	lincRNA
ENSMUSG00000079344	Lipo4	protein_coding
ENSMUSG00000027427	Polr3f	protein_coding
ENSMUSG00000032743	D430042O09Rik	protein_coding
ENSMUSG00000055193	Klk15	protein_coding
ENSMUSG00000019368	Sec14l4	protein_coding
ENSMUSG00000004789	Dlst	protein_coding
ENSMUSG00000060161	Klk1b7-ps	protein_coding
ENSMUSG00000063089	Klk1b8	protein_coding
ENSMUSG00000091206	Vmn2r91	protein_coding
ENSMUSG00000047565	Acot10	protein_coding
ENSMUSG00000040452	Cdh12	protein_coding
ENSMUSG00000025949	Pikfyve	protein_coding
ENSMUSG00000063133	Klk1b1	protein_coding
ENSMUSG00000091350	Vmn2r92	protein_coding
ENSMUSG00000024766	Lipo1	protein_coding
ENSMUSG00000059042	Klk1b9	protein_coding
ENSMUSG00000027824	Vmn2r1	protein_coding
ENSMUSG00000050108	Bpifc	protein_coding
ENSMUSG00000040420	Cdh18	protein_coding
ENSMUSG00000031198	Fundc2	protein_coding
ENSMUSG00000031595	Pdgfrl	protein_coding
ENSMUSG00000044485	Klk1b11	protein_coding
ENSMUSG00000075127	Olfr1179	protein_coding
ENSMUSG00000069227	Gprin1	protein_coding
ENSMUSG00000075126	Olfr1180	protein_coding
ENSMUSG00000005687	Bcas2	protein_coding
ENSMUSG00000043897	Vmn2r2	protein_coding
ENSMUSG00000075125	Olfr1181	protein_coding
ENSMUSG00000053719	Klk1b26	protein_coding
ENSMUSG00000090110	Mtcp1	protein_coding
ENSMUSG00000075124	Olfr1182	protein_coding
ENSMUSG00000087303	Lipo2	protein_coding
ENSMUSG00000091572	Vmn2r3	protein_coding
ENSMUSG00000027428	Rbbp9	protein_coding
ENSMUSG00000045636	Mtus1	protein_coding
ENSMUSG00000034891	Sncb	protein_coding
ENSMUSG00000054986	Sec14l3	protein_coding
ENSMUSG00000049372	Olfr1183	protein_coding
ENSMUSG00000090417	Vmn2r94	protein_coding
ENSMUSG00000030270	Cpne9	protein_coding
ENSMUSG00000079342	Gm5097	protein_coding
ENSMUSG00000019235	Rps6kl1	protein_coding
ENSMUSG00000034708	Grn	protein_coding
ENSMUSG00000037603	Gm5519	protein_coding
ENSMUSG00000031200	Mtcp1	protein_coding
ENSMUSG00000051424	Olfr1184	protein_coding
ENSMUSG00000024768	Lipf	protein_coding
ENSMUSG00000092049	Vmn2r4	protein_coding
ENSMUSG00000069808	Fam57a	protein_coding
ENSMUSG00000057735	Olfr1186	protein_coding
ENSMUSG00000063177	Klk1b27	protein_coding
ENSMUSG00000068810	Olfr1187-ps1	protein_coding
ENSMUSG00000068999	Vmn2r5	protein_coding
ENSMUSG00000033014	Trim33	protein_coding
ENSMUSG00000068809	Olfr1188	protein_coding
ENSMUSG00000024771	Lipk	protein_coding
ENSMUSG00000032413	Rasa2	protein_coding
ENSMUSG00000066516	Klk1b21	protein_coding
ENSMUSG00000068808	Olfr1189	protein_coding
ENSMUSG00000051237	9230109A22Rik	protein_coding
ENSMUSG00000031201	Brcc3	protein_coding
ENSMUSG00000081433	Serpinb1-ps1	pseudogene
ENSMUSG00000060827	Olfr1193	protein_coding
ENSMUSG00000060177	Klk1b22	protein_coding
ENSMUSG00000045763	Basp1	protein_coding
ENSMUSG00000004791	Pgf	protein_coding
ENSMUSG00000040204	2810417H13Rik	protein_coding
ENSMUSG00000027429	Sec23b	protein_coding
ENSMUSG00000056089	Gm5468	protein_coding
ENSMUSG00000030559	Rab38	protein_coding
ENSMUSG00000090581	Vmn2r6	protein_coding
ENSMUSG00000074973	Gm11382	pseudogene
ENSMUSG00000025946	Pth2r	protein_coding
ENSMUSG00000075121	Olfr1195	protein_coding
ENSMUSG00000083653	Gm11384	pseudogene
ENSMUSG00000082893	Gm11383	pseudogene
ENSMUSG00000075120	Olfr1196	protein_coding
